NO;DATE;GULA PASIR LOKAL
1;01/01/2021;13500
2;04/01/2021;13500
3;05/01/2021;13500
4;06/01/2021;13500
5;07/01/2021;13500
6;08/01/2021;13500
7;11/01/2021;13500
8;12/01/2021;13500
9;13/01/2021;13500
10;14/01/2021;13500
11;15/01/2021;13500
12;18/01/2021;13550
13;19/01/2021;13550
14;20/01/2021;13550
15;21/01/2021;13500
16;22/01/2021;13500
17;25/01/2021;13500
18;26/01/2021;13500
19;27/01/2021;13500
20;28/01/2021;13500
21;29/01/2021;13500
22;01/02/2021;13500
23;02/02/2021;13500
24;03/02/2021;13450
25;04/02/2021;13450
26;05/02/2021;13450
27;08/02/2021;13450
28;09/02/2021;13450
29;10/02/2021;13450
30;11/02/2021;13450
31;12/02/2021;13150
32;15/02/2021;13450
33;16/02/2021;13450
34;17/02/2021;13450
35;18/02/2021;13450
36;19/02/2021;13450
37;22/02/2021;13400
38;23/02/2021;13400
39;24/02/2021;13400
40;25/02/2021;13400
41;26/02/2021;13400
42;01/03/2021;13450
43;02/03/2021;13450
44;03/03/2021;13450
45;04/03/2021;13450
46;05/03/2021;13400
47;08/03/2021;13400
48;09/03/2021;13400
49;10/03/2021;13400
50;11/03/2021;15550
51;12/03/2021;13400
52;15/03/2021;13350
53;16/03/2021;13350
54;17/03/2021;13350
55;18/03/2021;13350
56;19/03/2021;13350
57;22/03/2021;13350
58;23/03/2021;13350
59;24/03/2021;13350
60;25/03/2021;13350
61;26/03/2021;13350
62;29/03/2021;13350
63;30/03/2021;13350
64;31/03/2021;13450
65;01/04/2021;13350
66;02/04/2021;13500
67;05/04/2021;13350
68;06/04/2021;13350
69;07/04/2021;13350
70;08/04/2021;13350
71;09/04/2021;13350
72;12/04/2021;13350
73;13/04/2021;13350
74;14/04/2021;13350
75;15/04/2021;13350
76;16/04/2021;13350
77;19/04/2021;13350
78;20/04/2021;13350
79;21/04/2021;13350
80;22/04/2021;13350
81;23/04/2021;13350
82;26/04/2021;13350
83;27/04/2021;13350
84;28/04/2021;13350
85;29/04/2021;13350
86;30/04/2021;13350
87;03/05/2021;13350
88;04/05/2021;13400
89;05/05/2021;13400
90;06/05/2021;13400
91;07/05/2021;13400
92;10/05/2021;13400
93;11/05/2021;13350
94;12/05/2021;-
95;13/05/2021;-
96;14/05/2021;-
97;17/05/2021;13350
98;18/05/2021;13350
99;19/05/2021;13650
100;20/05/2021;13350
101;21/05/2021;13350
102;24/05/2021;13350
103;25/05/2021;13350
104;26/05/2021;13500
105;27/05/2021;13350
106;28/05/2021;13350
107;31/05/2021;13300
108;01/06/2021;14500
109;02/06/2021;13300
110;03/06/2021;13300
111;04/06/2021;13300
112;07/06/2021;13300
113;08/06/2021;13300
114;09/06/2021;13300
115;10/06/2021;13300
116;11/06/2021;13300
117;14/06/2021;13300
118;15/06/2021;13300
119;16/06/2021;13300
120;17/06/2021;13300
121;18/06/2021;13300
122;21/06/2021;13300
123;22/06/2021;13250
124;23/06/2021;13250
125;24/06/2021;13250
126;25/06/2021;13250
127;28/06/2021;13250
128;29/06/2021;13250
129;30/06/2021;13250
130;01/07/2021;13200
131;02/07/2021;13250
132;05/07/2021;13250
133;06/07/2021;13250
134;07/07/2021;13250
135;08/07/2021;13250
136;09/07/2021;13250
137;12/07/2021;13200
138;13/07/2021;13200
139;14/07/2021;13200
140;15/07/2021;13200
141;16/07/2021;13250
142;19/07/2021;13250
143;20/07/2021;14750
144;21/07/2021;13250
145;22/07/2021;13250
146;23/07/2021;13250
147;26/07/2021;13250
148;27/07/2021;13250
149;28/07/2021;13250
150;29/07/2021;13250
151;30/07/2021;13250
152;02/08/2021;13200
153;03/08/2021;13200
154;04/08/2021;13200
155;05/08/2021;13200
156;06/08/2021;13200
157;09/08/2021;13200
158;10/08/2021;13200
159;11/08/2021;12750
160;12/08/2021;13200
161;13/08/2021;13150
162;16/08/2021;13200
163;17/08/2021;14750
164;18/08/2021;13200
165;19/08/2021;13200
166;20/08/2021;13200
167;23/08/2021;13150
168;24/08/2021;13200
169;25/08/2021;13150
170;26/08/2021;13150
171;27/08/2021;13150
172;30/08/2021;13150
173;31/08/2021;13150
174;01/09/2021;13150
175;02/09/2021;13150
176;03/09/2021;13150
177;06/09/2021;13150
178;07/09/2021;13150
179;08/09/2021;13150
180;09/09/2021;13150
181;10/09/2021;13150
182;13/09/2021;13150
183;14/09/2021;13150
184;15/09/2021;13150
185;16/09/2021;13150
186;17/09/2021;13150
187;20/09/2021;13150
188;21/09/2021;13150
189;22/09/2021;13150
190;23/09/2021;13150
191;24/09/2021;13150
192;27/09/2021;13150
193;28/09/2021;13150
194;29/09/2021;13150
195;30/09/2021;13150
196;01/10/2021;13150
197;04/10/2021;13150
198;05/10/2021;13150
199;06/10/2021;13150
200;07/10/2021;13150
201;08/10/2021;13150
202;11/10/2021;13150
203;12/10/2021;13150
204;13/10/2021;13150
205;14/10/2021;13150
206;15/10/2021;13150
207;18/10/2021;13150
208;19/10/2021;13150
209;20/10/2021;13750
210;21/10/2021;13150
211;22/10/2021;13550
212;25/10/2021;13150
213;26/10/2021;13150
214;27/10/2021;13150
215;28/10/2021;13150
216;29/10/2021;13150
217;01/11/2021;13150
218;02/11/2021;13150
219;03/11/2021;13150
220;04/11/2021;13200
221;05/11/2021;13200
222;08/11/2021;13200
223;09/11/2021;13150
224;10/11/2021;13200
225;11/11/2021;13150
226;12/11/2021;13150
227;15/11/2021;13150
228;16/11/2021;13150
229;17/11/2021;13150
230;18/11/2021;13150
231;19/11/2021;13150
232;22/11/2021;13150
233;23/11/2021;13200
234;24/11/2021;13200
235;25/11/2021;13200
236;26/11/2021;13200
237;29/11/2021;13200
238;30/11/2021;13200
239;01/12/2021;13200
240;02/12/2021;13200
241;03/12/2021;13200
242;06/12/2021;13200
243;07/12/2021;13200
244;08/12/2021;13200
245;09/12/2021;13200
246;10/12/2021;13250
247;13/12/2021;13250
248;14/12/2021;13250
249;15/12/2021;13250
250;16/12/2021;13250
251;17/12/2021;13250
252;20/12/2021;13250
253;21/12/2021;13250
254;22/12/2021;13300
255;23/12/2021;13350
256;24/12/2021;13350
257;27/12/2021;13350
258;28/12/2021;13300
259;29/12/2021;13300
260;30/12/2021;13300
261;31/12/2021;13300
262;03/01/2022;13350
263;04/01/2022;13350
264;05/01/2022;13350
265;06/01/2022;13350
266;07/01/2022;13350
267;10/01/2022;13450
268;11/01/2022;13550
269;12/01/2022;13600
270;13/01/2022;13750
271;14/01/2022;13800
272;17/01/2022;14000
273;18/01/2022;14100
274;19/01/2022;14100
275;20/01/2022;14150
276;21/01/2022;14150
277;24/01/2022;14200
278;25/01/2022;14200
279;26/01/2022;14200
280;27/01/2022;14200
281;28/01/2022;14200
282;31/01/2022;14200
283;01/02/2022;13500
284;02/02/2022;14200
285;03/02/2022;14200
286;04/02/2022;14200
287;07/02/2022;14200
288;08/02/2022;14200
289;09/02/2022;14200
290;10/02/2022;14200
291;11/02/2022;14250
292;14/02/2022;14200
293;15/02/2022;14200
294;16/02/2022;14200
295;17/02/2022;14250
296;18/02/2022;14200
297;21/02/2022;14200
298;22/02/2022;14200
299;23/02/2022;14200
