NO;DATE;GULA PASIR LOKAL
1;21/05/2018;12300
2;22/05/2018;12300
3;23/05/2018;12300
4;24/05/2018;12300
5;25/05/2018;12300
6;28/05/2018;12300
7;29/05/2018;12900
8;30/05/2018;12350
9;31/05/2018;12300
10;04/06/2018;12300
11;05/06/2018;12300
12;06/06/2018;12300
13;07/06/2018;12300
14;08/06/2018;12300
15;11/06/2018;12300
16;12/06/2018;12300
17;13/06/2018;12300
18;18/06/2018;12300
19;19/06/2018;12300
20;20/06/2018;12300
21;21/06/2018;12300
22;22/06/2018;12300
23;23/06/2018;12000
24;25/06/2018;12250
25;26/06/2018;12250
26;28/06/2018;12300
27;29/06/2018;12300
28;02/07/2018;12250
29;03/07/2018;12250
30;04/07/2018;12250
31;05/07/2018;12250
32;06/07/2018;12250
33;09/07/2018;12250
34;10/07/2018;12250
35;11/07/2018;12250
36;12/07/2018;12250
37;13/07/2018;12250
38;16/07/2018;12250
39;17/07/2018;12200
40;18/07/2018;12200
41;19/07/2018;12200
42;20/07/2018;12200
43;23/07/2018;12200
44;24/07/2018;12150
45;25/07/2018;12150
46;26/07/2018;12150
47;27/07/2018;12150
48;30/07/2018;12150
49;31/07/2018;12150
50;01/08/2018;12150
51;02/08/2018;12150
52;03/08/2018;12150
53;06/08/2018;12150
54;07/08/2018;12100
55;08/08/2018;12100
56;09/08/2018;12100
57;10/08/2018;12100
58;13/08/2018;12100
59;14/08/2018;12100
60;15/08/2018;12100
61;16/08/2018;12100
62;17/08/2018;12100
63;19/08/2018;11250
64;20/08/2018;12100
65;21/08/2018;12050
66;22/08/2018;11750
67;23/08/2018;12100
68;24/08/2018;12050
69;27/08/2018;12050
70;28/08/2018;12050
71;29/08/2018;12050
72;30/08/2018;12050
73;31/08/2018;12050
74;03/09/2018;12050
75;04/09/2018;12000
76;05/09/2018;12000
77;06/09/2018;12000
78;07/09/2018;12000
79;10/09/2018;11950
80;11/09/2018;12500
81;12/09/2018;11950
82;13/09/2018;11950
83;14/09/2018;11950
84;17/09/2018;11900
85;18/09/2018;11900
86;19/09/2018;11900
87;20/09/2018;11900
88;21/09/2018;11900
89;24/09/2018;11850
90;25/09/2018;11850
91;26/09/2018;11850
92;27/09/2018;11900
93;28/09/2018;11850
94;01/10/2018;11850
95;02/10/2018;11850
96;03/10/2018;11800
97;04/10/2018;11800
98;05/10/2018;11800
99;08/10/2018;11850
100;09/10/2018;11850
101;10/10/2018;11800
102;11/10/2018;11800
103;12/10/2018;11800
104;15/10/2018;11800
105;16/10/2018;11800
106;17/10/2018;11800
107;18/10/2018;11750
108;19/10/2018;11750
109;22/10/2018;11750
110;23/10/2018;11750
111;24/10/2018;11750
112;25/10/2018;11750
113;26/10/2018;11750
114;29/10/2018;11700
115;30/10/2018;11750
116;31/10/2018;11700
117;01/11/2018;11700
118;02/11/2018;11700
119;05/11/2018;11700
120;06/11/2018;11700
121;07/11/2018;11750
122;08/11/2018;11700
123;09/11/2018;11700
124;12/11/2018;11700
125;13/11/2018;11700
126;14/11/2018;11700
127;15/11/2018;11700
128;16/11/2018;11650
129;19/11/2018;11650
130;20/11/2018;12150
131;21/11/2018;11650
132;22/11/2018;11650
133;23/11/2018;11650
134;26/11/2018;11650
135;27/11/2018;11650
136;28/11/2018;11650
137;29/11/2018;11650
138;30/11/2018;11600
139;03/12/2018;11600
140;04/12/2018;11600
141;05/12/2018;11600
142;06/12/2018;11600
143;07/12/2018;11600
144;10/12/2018;11600
145;11/12/2018;11600
146;12/12/2018;11600
147;13/12/2018;11600
148;14/12/2018;11600
149;17/12/2018;11550
150;18/12/2018;11550
151;19/12/2018;11550
152;20/12/2018;11550
153;21/12/2018;11550
154;24/12/2018;11400
155;25/12/2018;10700
156;26/12/2018;11550
157;27/12/2018;11550
158;28/12/2018;11550
159;31/12/2018;11550
160;01/01/2019;10900
161;02/01/2019;11550
162;03/01/2019;11550
163;04/01/2019;11550
164;07/01/2019;11550
165;08/01/2019;11550
166;09/01/2019;11550
167;10/01/2019;11550
168;11/01/2019;11550
169;13/01/2019;-
170;14/01/2019;11550
171;15/01/2019;11550
172;16/01/2019;11550
173;17/01/2019;11500
174;18/01/2019;11550
175;21/01/2019;11550
176;22/01/2019;11550
177;23/01/2019;11500
178;24/01/2019;11500
179;25/01/2019;11500
180;28/01/2019;11500
181;29/01/2019;11500
182;30/01/2019;11500
183;31/01/2019;11500
184;01/02/2019;11550
185;04/02/2019;11550
186;05/02/2019;10550
187;06/02/2019;11550
188;07/02/2019;11550
